Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867512,2.4306,,4294867512,0.8713,,4294867512,1.8342,,,2.789624699,,,1.325155381,,,0.475029986,
4294867513,2.2611,,4294867513,1.6201,,4294867513,1.8199,,,1.395654589,,,1.242430903,,,0.890213748,
4294867514,3.495,,4294867514,1.3125,,4294867514,2.3175,,,2.662857143,,,1.508090615,,,0.566343042,
4294867515,1.8475,,4294867515,0.6693,,4294867515,1.3454,,,2.760346631,,,1.373197562,,,0.497472871,
4294867516,2.4916,,4294867516,0.7252,,4294867516,1.15,,,3.435741864,,,2.166608696,,,0.630608696,
4294867517,5.8362,,4294867517,1.6383,,4294867517,2.6951,,,3.562351218,,,2.165485511,,,0.607880969,
4294867518,7.3978,,4294867518,2.0984,,4294867518,3.9927,,,3.52544796,,,1.852831417,,,0.525559145,
4294867519,2.0728,,4294867519,1.4123,,4294867519,1.7963,,,1.467676839,,,1.153927518,,,0.786227245,
4294867520,4.125,,4294867520,1.1746,,4294867520,2.2998,,,3.511833816,,,1.793634229,,,0.510740064,
4294867521,3.766,,4294867521,0.8834,,4294867521,2.4198,,,4.263074485,,,1.556326969,,,0.365071494,
4294867522,3.4144,,4294867522,1.3483,,4294867522,2.4506,,,2.532374101,,,1.393291439,,,0.55019179,
4294867523,3.1506,,4294867523,0.9304,,4294867523,1.6513,,,3.386285469,,,1.907951311,,,0.563434869,
4294867524,1.9102,,4294867524,0.6882,,4294867524,0.8951,,,2.775646614,,,2.134063233,,,0.768852642,
4294867525,5.9558,,4294867525,1.5166,,4294867525,3.2717,,,3.927073718,,,1.820399181,,,0.463551059,
4294867526,3.6234,,4294867526,1.095,,4294867526,2.1412,,,3.309041096,,,1.692228657,,,0.511395479,
4294867527,1.3847,,4294867527,0.5991,,4294867527,0.8904,,,2.311300284,,,1.555143756,,,0.672843666,
4294867528,5.36,,4294867528,1.5113,,4294867528,2.5669,,,3.546615497,,,2.088121859,,,0.588764658,
4294867529,3.9914,,4294867529,1.4584,,4294867529,3.0765,,,2.736834888,,,1.29738339,,,0.474045181,
4294867530,4.5744,,4294867530,1.4139,,4294867530,2.869,,,3.235306599,,,1.594423144,,,0.492819798,
4294867531,1.9004,,4294867531,1.0751,,4294867531,1.9135,,,1.767649521,,,0.993153906,,,0.561850013,
4294867532,2.449,,4294867532,0.5931,,4294867532,1.2163,,,4.129151914,,,2.013483516,,,0.487626408,
